target_id,record_status,firm_name,website,country,region,language_preference,tier,segment,team_size_band,office_count_band,firm_type,sme_focus,suspected_stack_signals,suspected_operational_pain_signals,personalization_note_1,personalization_note_2,account_owner,primary_contact_name,primary_contact_title,secondary_contact_name,secondary_contact_title,relationship_status,sponsor_present,pilot_scope_30_50_dossiers,stack_fragmentation_level,review_close_pain_level,data_access_openness,expected_implementation_speed,process_discipline_score,pain_intensity_score,stack_fragmentation_score,sponsor_likelihood_score,pilot_scope_fit_score,implementation_speed_score,human_in_loop_fit_score,no_core_replacement_fit_score,icp_score_total,score_band,crm_stage,outreach_status,qualification_status,cadence_status,cadence_step_current,first_touch_date,last_touch_date,last_touch_channel,touch_count_total,reply_received,reply_type,meeting_booked,meeting_date,pricing_anchor_band,proposed_setup_fee,proposed_monthly_fee,proposed_term_months,next_step,next_step_due_date,nurture_reason,nurture_revisit_date,stop_reason,source_type,source_link,notes,source_link_2
BAAL-011,researched_public,Fiduciaire Ryckeman,https://www.ryckeman.be/,Belgium,8200 Sint-Andries,nl/fr/onbekend,A,Tier A,onbekend,onbekend,fiduciaire/accountancy,ja,online samenwerking,Publieke signalen: boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,Fiduciaire Ryckeman | Een ervaren Team van Boekhouders & Accountants,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,Daniel Defreyne,vennoot-zaakvoerder / huidige leiding,Mieke Defreyne,mede-vennoot en bestuurder,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Personalize outreach to confirmed public decision-maker,,,,,manual_web_research,https://www.ryckeman.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publiek bevestigde decision-maker toegevoegd op 2026-06-07.,https://www.ryckeman.be/over-ons/
BAAL-012,researched_public,Fiduciaire Alfibo,https://www.digitaalboekhouden.be/,Belgium,onbekend,nl/fr/onbekend,A,Tier A,onbekend,onbekend,fiduciaire/accountancy,ja,digitaal / online samenwerking,Publieke signalen: boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,Fiduciaire Alfibo – accountancy en fiscaliteit – Een kwestie van vertrouwen,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://www.digitaalboekhouden.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://www.digitaalboekhouden.be/about/
BAAL-013,researched_public,Finobi,https://finobi.be/,Belgium,3020 Herent,nl/fr/onbekend,A,Tier A,onbekend,onbekend,accountancy/advies,ja,digitaal / digital-first / software/tooling,Publieke signalen: efficiëntie / boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,Finobi | Digital-first boekhoudkantoor,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://finobi.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar.,https://finobi.be/contacteer-ons/
BAAL-014,researched_public,Fiduciaire Smets - Van Beek,https://fsvb.be/,Belgium,onbekend,nl/fr/onbekend,A,Tier A,onbekend,onbekend,fiduciaire/accountancy,ja,digital-first / online samenwerking,Publieke signalen: boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,"Home | Fiduciaire Smets - Van Beek BV,",Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://fsvb.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://fsvb.be/over-ons/
BAAL-015,researched_public,Fidulea,https://www.fidulea.be/,Belgium,2170 Merksem,nl/fr/onbekend,A,Tier A,onbekend,onbekend,boekhouding/accountancy,ja,digitaal / digital-first,Publieke signalen: boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,Boekhoudkantoor Fidulea | A-Z Boekhouding voor KMO's & zelfstandigen,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://www.fidulea.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://www.fidulea.be/
BAAL-016,researched_public,KMO Advieskantoor,http://www.kmoadvieskantoor.be/boekhouding.html,Belgium,onbekend,nl/fr/onbekend,A,Tier A,onbekend,onbekend,accountancy/advies,ja,onbekend,Publieke signalen: boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,KMO Advieskantoor BVBA - Uw persoonlijke bedrijfsadviseur,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,http://www.kmoadvieskantoor.be/boekhouding.html,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,http://www.kmoadvieskantoor.be/onskantoor.html
BAAL-017,researched_public,SBB,https://www.sbb.be/nl,Belgium,onbekend,nl/fr/onbekend,A,Tier A,onbekend,onbekend,boekhouding/accountancy,ja,digital-first,Publieke signalen: efficiëntie / boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,"SBB: boekhouding, accountancy en advies voor ondernemers",Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://www.sbb.be/nl,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://www.sbb.be/nl#main-content
BAAL-018,researched_public,Moore Belgium,https://www.moore.be/nl,Belgium,onbekend,nl/fr/onbekend,A,Tier A,onbekend,onbekend,boekhouding/accountancy,ja,digital-first,Publieke signalen: ontzorging/adminlast / efficiëntie / boekhouding workflow / fiscal/accountancy mix,"Entrepreneurs, just like you. - Moore Belgium",Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://www.moore.be/nl,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://www.moore.be/nl#main-content
BAAL-019,researched_public,PIA,https://www.pia.be/nl/expertises/kmo,Belgium,onbekend,nl/fr/onbekend,A,Tier A,onbekend,onbekend,boekhouding/accountancy,ja,digitaal / digital-first,Publieke signalen: boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,Kmo-advies: van fiscaliteit tot M&A. Reken op je PIA-kantoor,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://www.pia.be/nl/expertises/kmo,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar.,https://www.pia.be/nl/over-ons
BAAL-020,researched_public,AccountaX,https://www.accountax.be/fiscaliteit,Belgium,3118 Werchter,nl/fr/onbekend,A,Tier A,onbekend,onbekend,accountancy,ja,onbekend,Publieke signalen: fiscal/accountancy mix / advies naast boekhouding,Fiscaliteit voor kmo’s | AccountaX,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://www.accountax.be/fiscaliteit,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://www.accountax.be/over-ons
BAAL-021,framework_row,,,Belgium,,,,,,,,,,,,,,onbekend,onbekend,,,,cold,,,,,,,,,,,,,,,0,,List Candidate,not_started,,not_started,,,,0,,,no,,,standard_icp_anchor,15000,5500,3,Research and complete core fields,,,,manual_research,,Blank framework row only; no live prospect data entered Publieke individuele contactpersoon nog niet hard bevestigd.,
BAAL-022,framework_row,,,Belgium,,,,,,,,,,,,,,onbekend,onbekend,,,,cold,,,,,,,,,,,,,,,0,,List Candidate,not_started,,not_started,,,,0,,,no,,,standard_icp_anchor,15000,5500,3,Research and complete core fields,,,,manual_research,,Blank framework row only; no live prospect data entered Publieke individuele contactpersoon nog niet hard bevestigd.,
BAAL-023,framework_row,,,Belgium,,,,,,,,,,,,,,onbekend,onbekend,,,,cold,,,,,,,,,,,,,,,0,,List Candidate,not_started,,not_started,,,,0,,,no,,,standard_icp_anchor,15000,5500,3,Research and complete core fields,,,,manual_research,,Blank framework row only; no live prospect data entered Publieke individuele contactpersoon nog niet hard bevestigd.,
BAAL-024,framework_row,,,Belgium,,,,,,,,,,,,,,onbekend,onbekend,,,,cold,,,,,,,,,,,,,,,0,,List Candidate,not_started,,not_started,,,,0,,,no,,,standard_icp_anchor,15000,5500,3,Research and complete core fields,,,,manual_research,,Blank framework row only; no live prospect data entered Publieke individuele contactpersoon nog niet hard bevestigd.,
BAAL-025,framework_row,,,Belgium,,,,,,,,,,,,,,onbekend,onbekend,,,,cold,,,,,,,,,,,,,,,0,,List Candidate,not_started,,not_started,,,,0,,,no,,,standard_icp_anchor,15000,5500,3,Research and complete core fields,,,,manual_research,,Blank framework row only; no live prospect data entered Publieke individuele contactpersoon nog niet hard bevestigd.,
